description,label
Highway pileup of 3 cars on Western Express Highway due to fog. 22 people injured across multiple vehicles.,Highly Critical
Pedestrians hit by speeding truck on Kolkata-Delhi Highway. 21 people critically injured including children. Blood on road.,Highly Critical
Massive pile-up involving 3 vehicles on GT Road. Visibility was poor. Emergency services needed urgently.,Highly Critical
"Two buses collided head-on at Station Road. 50 passengers on board. Massive casualties, ambulances needed.",Highly Critical
Severe accident on Airport Road. Vehicle rolled over multiple times. Passengers ejected. 22 in critical state.,Highly Critical
Cyclist fell after hitting pothole on NH44. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
"School bus accident on Airport Road. Children trapped inside overturned bus. 25 injuries, parents rushing to scene.",Highly Critical
Massive pile-up involving 4 vehicles on Yamuna Expressway. Visibility was poor. Emergency services needed urgently.,Highly Critical
Oil tanker fire on Industrial Area Road. Thick black smoke visible for miles. 16 firefighters also injured in rescue.,Highly Critical
Electric scooter tipped over on Hosur Road. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Massive pile-up involving 8 vehicles on NH7. Visibility was poor. Emergency services needed urgently.,Highly Critical
Taxi and auto minor touch at Agra-Lucknow Expressway corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
Branch scratch on car roof on Eastern Express Highway. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Minor bump between school van and wall at Railway Station. No children on board. Driver is fine.,Moderate
Building debris fell on Pune-Bangalore Highway after accident impact. 5 vehicles buried. 19 trapped in rubble.,Highly Critical
Bridge collapse on MG Road due to heavy vehicle overload. Multiple vehicles fallen. 25 people trapped below.,Highly Critical
Oil tanker fire on Station Road. Thick black smoke visible for miles. 20 firefighters also injured in rescue.,Highly Critical
Oil tanker fire on Eastern Express Highway. Thick black smoke visible for miles. 5 firefighters also injured in rescue.,Highly Critical
Vehicle rolled backward slightly on Noida Expressway slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Side mirror clipped on narrow Ring Road. Minor glass breakage. No injuries. Both parties cooperating.,Moderate
Bike skidded on Chennai-Bangalore Highway due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
Building debris fell on Ring Road after accident impact. 5 vehicles buried. 15 trapped in rubble.,Highly Critical
Branch scratch on car roof on Nagpur-Hyderabad Highway. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Electrical pole fell on vehicles on Bandra-Worli Sea Link after accident. Live wires on ground. 24 electrocuted.,Highly Critical
Taxi and auto minor touch at GT Road corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
"Two-wheeler slipped on wet Delhi-Jaipur Highway. Rider wearing helmet, has minor bruises. Bike has cosmetic damage.",Moderate
"Fatal accident on NH48. Vehicle caught fire after collision. 15 dead, 10 people trapped.",Highly Critical
Major chemical spill from truck on MG Road. Toxic fumes spreading. 13 people experiencing breathing difficulties.,Highly Critical
Gas tanker explosion on Western Express Highway. Massive fire engulfing nearby vehicles. 5 feared dead. Evacuation underway.,Highly Critical
Minor collision at NH48 intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
Drunk driver crashed into bus stop on Western Express Highway. 16 people killed. Several more in critical condition.,Highly Critical
Oil tanker fire on Ring Road. Thick black smoke visible for miles. 14 firefighters also injured in rescue.,Highly Critical
Minor collision at Noida Expressway intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
Electrical pole fell on vehicles on Ring Road after accident. Live wires on ground. 13 electrocuted.,Highly Critical
"Low-speed collision in traffic jam on Outer Ring Road. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Oil tanker fire on Eastern Express Highway. Thick black smoke visible for miles. 7 firefighters also injured in rescue.,Highly Critical
Truck side-view mirror hit signboard on Bypass Road. Mirror cracked. No other damage. Driver continued.,Moderate
"Hit and run on Ahmedabad-Vadodara Expressway. Victim dragged 1100 meters. Critical injuries, massive internal bleeding.",Highly Critical
Pedestrians hit by speeding truck on GT Road. 6 people critically injured including children. Blood on road.,Highly Critical
Bus grazed a bollard on Ahmedabad-Vadodara Expressway. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
Head-on collision between truck and car on Chennai-Bangalore Highway. 11 critically injured. Fuel leaking from tanker.,Highly Critical
Electric scooter tipped over on Kolkata-Delhi Highway. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Slow-speed rear-end hit at Hosur Road toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Drunk driver crashed into bus stop on Airport Road. 20 people killed. Several more in critical condition.,Highly Critical
Food delivery bike slipped on Ring Road. Rider okay with helmet. Food spillage only. No traffic disruption.,Moderate
"Stampede triggered by accident on NH7. 17 people trampled. Chaos at scene, crowd control needed.",Highly Critical
Taxi and auto minor touch at Hosur Road corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
Severe accident on Bandra-Worli Sea Link. Vehicle rolled over multiple times. Passengers ejected. 25 in critical state.,Highly Critical
Tree branch fell on parked car at NH48. Windshield cracked. No one inside. Owner filing insurance.,Moderate
Vehicle rolled backward slightly on Ahmedabad-Vadodara Expressway slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
"Hit and run on GT Road. Victim dragged 600 meters. Critical injuries, massive internal bleeding.",Highly Critical
Auto-rickshaw and car minor scrape on Industrial Area Road. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
"Stampede triggered by accident on Noida Expressway. 25 people trampled. Chaos at scene, crowd control needed.",Highly Critical
Bridge collapse on NH48 due to heavy vehicle overload. Multiple vehicles fallen. 16 people trapped below.,Highly Critical
Electrical pole fell on vehicles on Noida Expressway after accident. Live wires on ground. 14 electrocuted.,Highly Critical
Slow-speed rear-end hit at Bypass Road toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
"Multi-vehicle collision on Yamuna Expressway. 24 people injured, 7 trapped in wreckage. Army called for assistance.",Highly Critical
Cyclist fell after hitting pothole on NH7. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
Learner driver stalled at MG Road signal. Car behind honked and lightly tapped. Zero damage. Learning moment.,Moderate
Vehicle rolled backward slightly on NH7 slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Car door opened into passing cyclist on Bandra-Worli Sea Link. Cyclist has minor elbow scratch. No serious injury.,Moderate
Car went over speed bump too fast on Pune-Bangalore Highway. Scraping sound underneath. No collision. Car seems fine.,Moderate
